post_id,title,category,score,num_comments,author,collected_at
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,74,22,jscalo,2026-04-13 15:15:05
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,618,152,iceberger2001,2026-04-13 15:15:17
47698111,Bevy game development tutorials and in-depth resources,sports,137,58,GenericCanadian,2026-04-13 15:15:24
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,236,55,joko42,2026-04-13 15:15:31
47737387,Show HN: Bullseye2D – A Dart library for cross-platform 2D games,sports,4,0,joemanaco,2026-04-13 15:16:22
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,118,36,pruz,2026-04-13 15:16:30
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-13 15:16:34
47738343,The Physics of GPS,science,146,34,maouida,2026-04-13 15:17:06
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,28,10,thunderbong,2026-04-13 15:17:24
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,133,19,sohkamyung,2026-04-13 15:17:32
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-13 15:17:34
47708818,Native Instant Space Switching on macOS,science,639,323,PaulHoule,2026-04-13 15:17:46
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,443,247,a-ve,2026-04-13 15:18:48
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,216,66,Rochus,2026-04-13 15:18:52
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,46,0,mooreds,2026-04-13 15:19:02
47724352,Filing the corners off my MacBooks,entertainment,1380,657,normanvalentine,2026-04-13 15:19:05
47745300,Show HN: A social feed with no strangers,entertainment,8,3,rpatni,2026-04-13 15:19:23
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,74,14,anigbrowl,2026-04-13 15:19:27
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,154,37,maouida,2026-04-13 15:19:36
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-13 15:19:51
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,86,39,chrisecker,2026-04-13 15:19:52
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-13 15:19:55
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,173,166,randerson_112,2026-04-13 15:19:56
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,38,20,olleeolleeollee,2026-04-13 15:19:57
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-13 15:19:58
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-13 15:19:59
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-13 15:20:15
47733479,Show HN: A Better Internet,entertainment,10,3,tclancy,2026-04-13 15:20:24
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-13 15:20:31
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-13 15:20:36
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,33,3,larry-the-agent,2026-04-13 15:20:37
47696562,Show HN: Is Hormuz open yet?,entertainment,482,209,anonfunction,2026-04-13 15:20:38
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,39,16,eummm,2026-04-13 15:20:39
